@relation train

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute y numeric

@data
1,1860,118,118
1,1860,151,151
1,1860,119,121
1,1860,94,96
1,1860,111,110
1,1860,129,117
1,1860,133,132
1,1860,119,104
1,1860,131,125
1,1860,117,118
1,1870,125,125
1,1870,128,123
1,1870,108,110
1,1870,126,127
1,1870,138,131
1,1870,100,99
1,1870,142,126
1,1870,141,144
1,1870,136,136
1,1870,123,126
1,1880,91,91
1,1880,132,130
1,1880,62,62
1,1880,115,112
1,1880,93,99
1,1880,160,161
1,1880,77,78
1,1880,127,124
1,1880,120,119
1,1880,121,124
1,1890,131,128
1,1890,131,131
1,1890,137,113
1,1890,87,88
1,1890,74,75
1,1890,113,111
1,1890,96,97
1,1890,117,112
1,1890,99,101
1,1890,104,101
1,1900,119,91
1,1900,123,110
1,1900,101,100
1,1900,129,130
1,1900,112,111
1,1900,118,107
1,1900,103,105
1,1900,85,89
1,1900,140,126
1,1900,111,108
1,1910,115,97
1,1910,106,94
1,1910,106,83
1,1910,118,106
1,1910,96,98
1,1910,103,101
1,1910,113,108
1,1910,104,99
1,1910,83,88
1,1910,115,115
1,1920,111,102
1,1920,116,116
1,1920,116,115
1,1920,83,82
1,1920,116,110
1,1920,85,81
1,1920,96,96
1,1920,127,125
1,1920,103,104
1,1920,103,105
1,1930,126,124
1,1930,102,103
1,1930,108,106
1,1930,96,96
1,1930,104,107
1,1930,98,98
1,1930,60,65
1,1930,107,115
1,1930,103,91
1,1930,98,94
1,1940,107,101
1,1940,123,121
1,1940,111,105
1,1940,102,97
1,1940,102,105
1,1940,127,96
1,1940,85,82
1,1940,114,116
1,1940,101,114
1,1940,89,92
1,1950,99,98
1,1950,108,101
1,1950,108,104
1,1950,92,96
1,1950,113,109
1,1950,118,122
1,1950,112,114
1,1950,93,81
1,1950,72,85
1,1950,83,92
1,1960,109,114
1,1960,92,111
1,1960,109,95
1,1960,125,126
1,1960,101,105
1,1960,98,108
1,1960,113,117
1,1960,112,112
1,1960,92,113
1,1960,114,120
1,1970,65,65
1,1970,88,98
1,1970,87,91
1,1970,101,108
1,1970,92,113
1,1970,93,110
